service_sk,cpt_code,cpt_description,service_category,revenue_code,place_of_service,etl_batch_id,etl_loaded_at
1,99214,"Office visit, established patient, high complexity",Evaluation & Management,0301,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
2,93000,Electrocardiogram complete,Radiology,0302,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
3,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
4,71045,Chest x-ray single view,Radiology,0304,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
5,J3420,Vitamin B-12 injection,Procedure,0305,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
6,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
7,99214,"Office visit, established patient, high complexity",Evaluation & Management,0307,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
8,93000,Electrocardiogram complete,Radiology,0308,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
9,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
10,71045,Chest x-ray single view,Radiology,0310,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
11,J3420,Vitamin B-12 injection,Procedure,0311,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
12,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
13,99214,"Office visit, established patient, high complexity",Evaluation & Management,0313,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
14,93000,Electrocardiogram complete,Radiology,0314,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
15,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
16,71045,Chest x-ray single view,Radiology,0316,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
17,J3420,Vitamin B-12 injection,Procedure,0317,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
18,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
19,99214,"Office visit, established patient, high complexity",Evaluation & Management,0319,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
20,93000,Electrocardiogram complete,Radiology,0320,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
21,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
22,71045,Chest x-ray single view,Radiology,0322,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
23,J3420,Vitamin B-12 injection,Procedure,0323,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
24,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
25,99214,"Office visit, established patient, high complexity",Evaluation & Management,0325,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
26,93000,Electrocardiogram complete,Radiology,0326,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
27,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
28,71045,Chest x-ray single view,Radiology,0328,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
29,J3420,Vitamin B-12 injection,Procedure,0329,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
30,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
31,99214,"Office visit, established patient, high complexity",Evaluation & Management,0331,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
32,93000,Electrocardiogram complete,Radiology,0332,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
33,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
34,71045,Chest x-ray single view,Radiology,0334,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
35,J3420,Vitamin B-12 injection,Procedure,0335,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
36,99213,"Office visit, established patient",Evaluation & Management,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
37,99214,"Office visit, established patient, high complexity",Evaluation & Management,0337,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
38,93000,Electrocardiogram complete,Radiology,0338,Outpatient Hospital,BATCH-2026-01-15-001,2026-01-15 03:00:00
39,80053,Comprehensive metabolic panel,Laboratory,,Office,BATCH-2026-01-15-001,2026-01-15 03:00:00
