Scenario,TID,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result,Actual Result,Status,Executed,QA Name,Misc (Comments),Priority,Is Automated
Positive,TC_LOGIN_001,Verify login page loads with all required fields [Data set 1],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_002,Verify login page loads with all required fields [Data set 2],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_003,Verify login page loads with all required fields [Data set 3],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_004,Verify login page loads with all required fields [Data set 4],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_005,Verify login page loads with all required fields [Data set 5],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_006,Verify login page loads with all required fields [Data set 6],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_007,Verify login page loads with all required fields [Data set 7],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,Yes
Positive,TC_LOGIN_008,Verify login page loads with all required fields [Data set 8],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_009,Verify login page loads with all required fields [Data set 9],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,No
Positive,TC_LOGIN_010,Verify login page loads with all required fields [Data set 10],User has a registered Shopify account and is on the shopify.com login page,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,1. Navigate to shopify.com/login | 2. Observe page elements,"Email, password fields and 'Log in' button are displayed correctly",,Not Executed,No,,,Medium,Yes
